Reading Datetime	Min_Temperature (*C)	Max_Temperature (*C)	Avg_Temperature (*C)	Sum_Precipitation (mm)	Min_Humidity (%)	Max_Humidity (%)	Avg_Humidity (%)	Avg_Wind_Direction (deg)	Avg_Wind_Gust (km/h)	Min_Wind_Speed (km/h)	Max_Wind_Speed (km/h)	Avg_Wind_Speed (km/h)	Avg_Solar_Radiation (wat/m2)	Avg_Soil_Moisture_A (kPa)	Avg_Soil_Moisture_B (kPa)	
20-Mar-2006	22.1	26.4	23.358333309491474	8.379999876022339	84.3	100	97.337499777476	159.88541356722513	6.4	0	0	0	66.53958300749461	29.854166666666668	29.854166666666668	
21-Mar-2006	21.7	30.8	24.366666833559673	0.25	66.2	100	90.62499952316284	106.54583462079366	8	0	1.6	0.16666666915019354	203.92500033974648	26	26	
22-Mar-2006	21.7	33.2	25.445833404858906	0	60.3	100	88.09583274523418	203.98542006810507	12.9	0	1.6	0.033333333830038704	184.5604165593783	25	25	
23-Mar-2006	22.1	31.2	25.568749864896137	42.16000056266785	65.5	100	91.26666657129924	223.4874997138977	6.4	0	0	0	157.23333376646042	3.5416666666666665	3.5416666666666665	
24-Mar-2006	21.7	28.7	23.954166769981384	70.34999990463257	77.3	100	94.66249990463257	200.49999777475992	9.7	0	1.6	0.10000000149011612	137.0083351035913	1.25	1.25	
25-Mar-2006	21.3	32.4	26.06458334128062	0	58.1	100	85.68749928474426	161.83958220481873	9.7	0	1.6	0.06666666766007741	266.2979179620743	0.5	0.5	
26-Mar-2006	21.7	25.2	23.020833373069763	3.2899999618530273	89.8	100	98.27499993642171	158.4208347996076	20.9	0	1.6	0.06666666766007741	46.445833464463554	0.9583333333333334	0.9583333333333334	
27-Mar-2006	21.3	30.8	24.635416785875957	0.25	60.9	100	88.57499988873799	199.6333345969518	8	0	0	0	226.34999883174896	0.8541666666666666	0.8541666666666666	
28-Mar-2006	21	32.4	25.837500015894573	0	57.7	100	85.82500020662944	182.81041717529297	11.3	0	0	0	177.08750080068907	1.0833333333333333	1.0833333333333333	
29-Mar-2006	22.5	30.4	25.13333324591319	0.25	69	100	90.88541618982951	233.22083894411722	12.9	0	1.6	0.13333333532015482	177.5729168752829	5.916666666666667	5.916666666666667	
30-Mar-2006	22.5	29.1	24.043749849001568	13.43999981880188	74.3	100	95.35624996821086	222.37083729108176	6.4	0	0	0	95.58749933044116	6.458333333333333	6.458333333333333	
31-Mar-2006	22.5	29.9	24.922916531562805	14.72000002861023	74.9	100	91.90625031789143	194.1833289464315	9.7	0	1.6	0.033333333830038704	179.1687497397264	1	1	
1-Apr-2006	22.5	31.6	25.49166663487752	8.130000114440918	60.7	100	89.07499988873799	237.82499772310257	8	0	1.6	0.033333333830038704	199.2666689256827	0.6458333333333334	0.6458333333333334	
2-Apr-2006	22.1	31.2	24.90434787584388	1.5199999809265137	66.9	100	91.85434756071672	166.4782598744268	6.4	0	0	0	156.39130448258442	0.6956521739130435	0.6956521739130435	
