"","name","found","family"
"228","cayaponiatubulosa","TRUE","Cucurbitaceae"
"229","zygiasp","TRUE","Fabaceae"
"230","bignoniaceaesp15","TRUE","Bignoniaceae"
"231","orchidaceaesp2","TRUE","Orchidaceae"
"232","phytolaccasp","TRUE","Phytolaccaceae"
"233","acaciasp4","TRUE","Fabaceae"
"234","bignoniaceaesp29","TRUE","Bignoniaceae"
"235","perebeahumilis","TRUE","Moraceae"
"236","myrtaceaesp2","TRUE","Myrtaceae"
"237","turpiniaoccidentalis","TRUE","Staphyleaceae"
"238","leretiacordata","TRUE","Icacinaceae"
"239","acaciasp9","TRUE","Fabaceae"
"240","bauhiniaglabra","TRUE","Fabaceae"
"241","leoniaglycycarpa","TRUE","Violaceae"
"242","mendonciaglabra","TRUE","Acanthaceae"
"243","ficusinsipida","TRUE","Moraceae"
"244","phythecocteniumcrucigerum","TRUE","Bignoniaceae"
"245","dichapetalumaxilaris","TRUE","Dichapetalaceae"
"246","ingaspsmall","TRUE","Fabaceae"
"247","matisiacordata","TRUE","Malvaceae"
"248","pouteriajuruana","TRUE","Sapotaceae"
"249","bignoniaceaesp24","TRUE","Bignoniaceae"
"250","ingaruiziana","TRUE","Fabaceae"
"251","ixoraperuviana","TRUE","Rubiaceae"
"252","ingasp14","TRUE","Fabaceae"
"253","neeasp","TRUE","Nyctaginaceae"
"254","cissussicyoides","TRUE","Ulmaceae"
"255","soroceasteinbachii","TRUE","Moraceae"
"256","bauhiniasp","TRUE","Fabaceae"
"257","neearf11941","TRUE","Nyctaginaceae"
"258","heisteriaovata","TRUE","Olacaceae"
"259","pouteriaephedrantha","TRUE","Sapotaceae"
"260","rolliniapavonii","TRUE","Annonaceae"
"261","menispermaceaesp4","TRUE","Menispermaceae"
"262","annonaceaesp1","TRUE","Annonaceae"
"263","abutasp1","TRUE","Menispermaceae"
"264","curareatecunarum","TRUE","Menispermaceae"
"265","petreaaspera","TRUE","Verbenaceae"
"266","caseariafasiculata","TRUE","Salicaceae"
"267","bignoniaceaesp31","TRUE","Bignoniaceae"
"268","trichiliasp","TRUE","Meliaceae"
"269","anomospermumcloranthum","TRUE","Menispermaceae"
"270","cremastospermapedunculatum","TRUE","Annonaceae"
"271","diospyrossubrotata","TRUE","Ebenaceae"
